time,netzero_py2020_fac1.0_decr0.3,netzero_py2020_fac1.0_decr0.5,netzero_py2020_fac1.0_decr0.7,netzero_py2025_fac1.0_decr0.3,netzero_py2025_fac1.0_decr0.5,netzero_py2025_fac1.0_decr0.7,netzero_py2030_fac1.0_decr0.3,netzero_py2030_fac1.0_decr0.5,netzero_py2030_fac1.0_decr0.7,netzero_py2035_fac1.0_decr0.3,netzero_py2035_fac1.0_decr0.5,netzero_py2035_fac1.0_decr0.7,netzero_py2040_fac1.0_decr0.3,netzero_py2040_fac1.0_decr0.5,netzero_py2040_fac1.0_decr0.7,netzero_py2045_fac1.0_decr0.3,netzero_py2045_fac1.0_decr0.5,netzero_py2045_fac1.0_decr0.7,netzero_py2050_fac1.0_decr0.3,netzero_py2050_fac1.0_decr0.5,netzero_py2050_fac1.0_decr0.7
2009.0,-9.537052325892745,-9.537291036344412,-9.537673630441127,-9.536827429402289,-9.53708975716848,-9.537225542753772,-9.536735365567054,-9.536883453822018,-9.53701747011915,-9.53666483708909,-9.536749276616373,-9.536827429402289,-9.536619640565402,-9.536700741295805,-9.5367358379994,-9.536571543253805,-9.53665281491578,-9.536695302404013,-9.536569082871667,-9.536577464368703,-9.536626632248918
2010.0,-8.794331572705337,-8.794549040773733,-8.79489126154998,-8.794125773758596,-8.794365502935923,-8.794489104353266,-8.794041366067027,-8.794177248371861,-8.794299619960803,-8.79397651276181,-8.794054143052337,-8.794125773758596,-8.793935069009711,-8.79400950622414,-8.79404179784808,-8.793890849400329,-8.793965475774124,-8.794004511284347,-8.793888551278881,-8.793896382090123,-8.793941469415572
2011.0,-8.028292486068523,-8.028488265185246,-8.028790866641515,-8.028106473521346,-8.028322850804951,-8.028434023201363,-8.02802993735213,-8.028152985262984,-8.028263506769127,-8.02797098699376,-8.028041531481872,-8.028106473521346,-8.027933390467933,-8.02800097304883,-8.02803032705663,-8.027893195005587,-8.027960961901208,-8.027996435959828,-8.027891082344967,-8.027898281232691,-8.027939187349311
2012.0,-7.237245185456369,-7.2374191192045725,-7.237682608829928,-7.237079381635117,-7.2372719866459825,-7.237370674903751,-7.237010886188099,-7.237120710667633,-7.237219240095727,-7.236958015682202,-7.237021263766659,-7.237079381635117,-7.236924348226479,-7.236984915369367,-7.237011233010391,-7.236888287616832,-7.236949027006686,-7.236980848254002,-7.236886375576142,-7.236892890282005,-7.236929530776548
2013.0,-6.41917436608091,-6.419326421186804,-6.419554119831543,-6.419029043962485,-6.419197621756677,-6.419283847767692,-6.418968736555948,-6.41906508327239,-6.419151509782471,-6.418922097849604,-6.418977870778378,-6.419029043962485,-6.418892433290053,-6.4189458393030865,-6.418969040015931,-6.418860606003346,-6.418914168276398,-6.418942253275741,-6.4188589063961725,-6.4188646962600355,-6.418896991903639
2014.0,-5.574804834536668,-5.574934997411383,-5.575128526433032,-5.574680158382436,-5.574824580365822,-5.574898358206028,-5.574628171643874,-5.574710883717832,-5.574785118478232,-5.574587899200495,-5.574636040655149,-5.574680158382436,-5.574562305393392,-5.574608415002074,-5.5746284314873735,-5.574534799725133,-5.574581049786185,-5.574605320171297,-5.5745333223627185,-5.57453835387541,-5.5745662313988396
2015.0,-4.705268969699268,-4.7053772945841565,-4.705536205303321,-4.705165025267069,-4.705285248676674,-4.705346645717924,-4.7051214766270855,-4.705190471587604,-4.705252442246624,-4.705087687775948,-4.705128062698447,-4.705165025267069,-4.705066227556811,-4.705104917072587,-4.705121692767516,-4.705043126618586,-4.705081937975742,-4.705102321667171,-4.7050418799423115,-4.705046124542792,-4.705069513242053
2016.0,-3.8117332426963517,-3.811819780914634,-3.811944607694145,-3.8116500919991148,-3.8117461067698524,-3.811795172870903,-3.8116150882486832,-3.811670295078312,-3.811719945829205,-3.81158788670245,-3.811620376387371,-3.8116500919991148,-3.8115706175688655,-3.811601773709666,-3.811615260764406,-3.8115519970688276,-3.8115832545613473,-3.81159968503901,-3.811550988393518,-3.8115544214633794,-3.8115732563074167
2017.0,-2.893427239359231,-2.89349204531354,-2.893585501770739,-2.8933649167661124,-2.893436766159412,-2.893473543918366,-2.8933385485446963,-2.893379930996403,-2.8934172133928646,-2.8933180292556195,-2.893342526671472,-2.8933649167661124,-2.8933050035484826,-2.8933285192289753,-2.8933386775494543,-2.8932909353557483,-2.893314532046793,-2.8933269442423177,-2.893290171002508,-2.893292771280024,-2.8933069895145516
2018.0,-1.952310824587669,-1.9523539629426367,-1.9524160501760117,-1.9522693427321658,-1.9523170993467809,-1.9523416035588985,-1.9522516968055872,-1.95227922920175,-1.952304106223405,-1.952237944763768,-1.9522543552703537,-1.9522693427321658,-1.9522292136446657,-1.9522449856844235,-1.9522517824913284,-1.9522197687476643,-1.9522355987027338,-1.9522439306153532,-1.9522192543895962,-1.9522210032546987,-1.9522305418485273
