time,zeroCO2_py2020_fac1.0_decr0.3,zeroCO2_py2020_fac1.0_decr0.5,zeroCO2_py2020_fac1.0_decr0.7,zeroCO2_py2025_fac1.0_decr0.3,zeroCO2_py2025_fac1.0_decr0.5,zeroCO2_py2025_fac1.0_decr0.7,zeroCO2_py2030_fac1.0_decr0.3,zeroCO2_py2030_fac1.0_decr0.5,zeroCO2_py2030_fac1.0_decr0.7,zeroCO2_py2035_fac1.0_decr0.3,zeroCO2_py2035_fac1.0_decr0.5,zeroCO2_py2035_fac1.0_decr0.7,zeroCO2_py2040_fac1.0_decr0.3,zeroCO2_py2040_fac1.0_decr0.5,zeroCO2_py2040_fac1.0_decr0.7,zeroCO2_py2045_fac1.0_decr0.3,zeroCO2_py2045_fac1.0_decr0.5,zeroCO2_py2045_fac1.0_decr0.7,zeroCO2_py2050_fac1.0_decr0.3,zeroCO2_py2050_fac1.0_decr0.5,zeroCO2_py2050_fac1.0_decr0.7
2009.0,-9.53674359086676,-9.536795205519255,-9.536869474870649,-9.536719095533943,-9.53674359086676,-9.53675670376365,-9.536659664546402,-9.536719095533943,-9.53673051964321,-9.536616822253496,-9.536659664546402,-9.53670448735184,-9.536571543253805,-9.536619640565402,-9.536657006122676,-9.536569082871667,-9.536571543253805,-9.536616822253496,-9.536569082871667,-9.536569082871667,-9.536571543253805
2010.0,-8.794048891384753,-8.794096419124907,-8.794164386847923,-8.794026346780056,-8.794048891384753,-8.794060958734882,-8.793971757504433,-8.794026346780056,-8.79403690971377,-8.793932487330226,-8.793971757504433,-8.794012957210521,-8.793890849400329,-8.793935069009711,-8.793969320941573,-8.793888551278881,-8.793890849400329,-8.793932487330226,-8.793888551278881,-8.793888551278881,-8.793890849400329
2011.0,-8.028036749150942,-8.028080001468172,-8.028141554284776,-8.028016254358779,-8.028036749150942,-8.028047716188691,-8.027966662832657,-8.028016254358779,-8.028025890312666,-8.027931051362346,-8.027966662832657,-8.028004117274865,-8.027893195005587,-8.027933390467933,-8.02796445368769,-8.027891082344967,-8.027893195005587,-8.027931051362346,-8.027891082344967,-8.027891082344967,-8.027893195005587
2012.0,-7.2370169727726505,-7.237055806494109,-7.237110847168761,-7.236998598893022,-7.2370169727726505,-7.237026801072443,-7.236954135220477,-7.236998598893022,-7.237007261691806,-7.236922256841004,-7.236954135220477,-7.236987742179677,-7.236888287616832,-7.236924348226479,-7.236952158371098,-7.236886375576142,-7.236888287616832,-7.236922256841004,-7.236886375576142,-7.236886375576142,-7.236888287616832
2013.0,-6.418974087267449,-6.4190083799775355,-6.419056816643671,-6.418957891643621,-6.418974087267449,-6.418982746568104,-6.418918672442157,-6.418957891643621,-6.418965544937311,-6.418890594019173,-6.418918672442157,-6.418948339006224,-6.418860606003346,-6.418892433290053,-6.418916932155295,-6.4188589063961725,-6.418860606003346,-6.418890594019173,-6.4188589063961725,-6.4188589063961725,-6.418860606003346
2014.0,-5.574632777050323,-5.5746624208571935,-5.574704164322487,-5.574618806963953,-5.574632777050323,-5.574640242859037,-5.5745849391489095,-5.574618806963953,-5.574625421347685,-5.574560721995926,-5.5745849391489095,-5.574610578739245,-5.574534799725133,-5.574562305393392,-5.574583439170737,-5.5745333223627185,-5.574534799725133,-5.574560721995926,-5.5745333223627185,-5.5745333223627185,-5.574534799725133
2015.0,-4.7051253287225165,-4.705150226795715,-4.705185194297249,-4.705113623412519,-4.7051253287225165,-4.705131581139828,-4.705085202303673,-4.705113623412519,-4.705119174668068,-4.705064903205104,-4.705085202303673,-4.705106736744104,-4.705043126618586,-4.705066227556811,-4.705083945956431,-4.7050418799423115,-4.705043126618586,-4.705064903205104,-4.7050418799423115,-4.7050418799423115,-4.705043126618586
2016.0,-3.811618179863666,-3.8116382443239325,-3.8116663563051207,-3.8116087721649072,-3.811618179863666,-3.8116232024531667,-3.8115858841801056,-3.8116087721649072,-3.8116132400262166,-3.811569554924898,-3.8115858841801056,-3.811603241892701,-3.8115519970688276,-3.8115706175688655,-3.811584874395001,-3.811550988393518,-3.8115519970688276,-3.811569554924898,-3.811550988393518,-3.811550988393518,-3.8115519970688276
2017.0,-2.8933408735814203,-2.8933560249239982,-2.893377210442653,-2.8933337905449563,-2.8933408735814203,-2.893344653451154,-2.893316517480931,-2.8933337905449563,-2.8933371583902674,-2.8933042047326123,-2.893316517480931,-2.8933296291406285,-2.8932909353557483,-2.8933050035484826,-2.893315756948033,-2.893290171002508,-2.8932909353557483,-2.8933042047326123,-2.893290171002508,-2.893290171002508,-2.8932909353557483
2018.0,-1.9522532503297259,-1.952263415504872,-1.9522775997829396,-1.9522485133458363,-1.9522532503297259,-1.9522557771701916,-1.9522369307598375,-1.9522485133458363,-1.9522507678771055,-1.952228680189836,-1.9522369307598375,-1.952245731106941,-1.9522197687476643,-1.9522292136446657,-1.9522364218886639,-1.9522192543895962,-1.9522197687476643,-1.952228680189836,-1.9522192543895962,-1.9522192543895962,-1.9522197687476643
